Fecha,Bola_1,Bola_2,Bola_3,Bola_4,Bola_5,Bola_6,Loto_Mas,Super_Mas
2025-06-28,4,12,16,21,30,31,2,11
2025-07-02,3,7,16,18,19,31,9,1
2025-07-05,10,15,21,23,30,35,5,6
2025-07-09,1,2,11,12,30,36,8,14
2025-07-12,7,16,25,27,35,40,7,1
2025-07-16,2,6,15,26,34,35,12,5
2025-07-19,4,14,22,25,30,39,8,11
2025-07-23,14,20,32,33,35,38,1,4
2025-07-26,1,4,19,26,31,35,1,13
2025-07-30,3,16,22,23,25,31,4,14
2025-08-02,7,10,15,21,22,29,4,3
2025-08-06,14,17,18,20,38,40,7,8
2025-08-09,4,5,9,33,38,40,4,1
2025-08-13,7,11,22,26,29,40,6,1
2025-08-16,2,8,18,19,24,34,5,13
2025-08-20,2,17,18,24,26,38,1,10
2025-08-23,5,21,30,35,37,39,8,11
2025-08-27,3,6,24,28,38,39,4,3
2025-08-30,3,6,9,23,32,40,3,4
2025-09-03,3,8,14,17,32,35,10,12
2025-09-06,14,19,28,30,31,40,7,9
2025-09-10,2,8,9,19,21,27,10,9
2025-09-13,6,14,20,21,33,35,1,7
2025-09-17,1,23,26,29,35,36,3,11
2025-09-20,3,10,11,12,13,25,4,12
2025-09-24,3,9,25,30,31,38,5,6
2025-09-27,2,9,10,14,27,32,10,4
2025-10-01,3,13,16,27,34,38,1,15
2025-10-04,2,12,18,22,36,40,12,3
2025-10-08,12,19,24,28,34,36,4,10
2025-10-11,2,4,9,27,35,40,6,8
2025-10-15,6,14,24,31,35,36,9,2
2025-10-18,7,14,17,18,23,36,4,1
2025-11-20,13,18,19,23,31,37,6,12
2025-11-23,7,10,12,18,21,26,2,4
2025-11-27,1,5,10,11,28,35,9,12
2025-11-30,3,4,21,25,26,27,5,1
2025-12-04,5,8,19,21,26,32,6,12
2025-12-07,3,7,17,33,37,39,4,4
2025-12-11,4,12,13,23,24,38,8,1
2025-12-14,9,10,23,24,31,33,4,15
2025-12-18,1,2,15,29,34,40,12,12
2025-12-21,9,20,28,31,35,40,7,6
2025-12-28,2,10,13,15,22,30,11,5
2026-01-04,22,24,28,35,39,40,5,2
2026-01-08,7,12,13,19,28,29,10,13
2026-01-11,2,3,14,17,24,35,12,5
